id	vndb_id	reason	resources	comments	favorites	contributors	view	download	publisher_uid	publisher_name	created	open
6605	pending-6605	pending_or_empty_vndb	2	1	3	1	7253	106	18772	红aaa	2025-01-31T07:10:19Z	/patch/6605/introduction
6679	pending-6679	pending_or_empty_vndb	0	1	1	1	5326	0	19340	Arch1medes	2025-02-06T06:10:13Z	/patch/6679/introduction
6682	pending-6682	pending_or_empty_vndb	0	1	5	1	5925	0	19340	Arch1medes	2025-02-06T06:26:17Z	/patch/6682/introduction
6692	pending-6692	pending_or_empty_vndb	1	0	3	1	5785	24	19340	Arch1medes	2025-02-06T07:14:11Z	/patch/6692/introduction
6697	pending-6697	pending_or_empty_vndb	1	5	17	1	12220	721	16284	无聊荒芜	2025-02-06T08:09:03Z	/patch/6697/introduction
6698	pending-6698	pending_or_empty_vndb	1	0	5	1	3294	86	16284	无聊荒芜	2025-02-06T09:16:20Z	/patch/6698/introduction
6778	pending-6778	pending_or_empty_vndb	1	0	3	1	2773	46	21657	ZannenWW	2025-02-07T11:45:24Z	/patch/6778/introduction
6829	pending-6829	pending_or_empty_vndb	1	0	1	1	5977	84	7274	爱吃的萝卜子	2025-02-09T04:52:13Z	/patch/6829/introduction
6860	pending-6860	pending_or_empty_vndb	1	0	3	1	2324	31	18697	1531190	2025-02-10T13:41:17Z	/patch/6860/introduction
6882	pending-6882	pending_or_empty_vndb	1	0	2	1	4309	91	18697	1531190	2025-02-11T05:04:09Z	/patch/6882/introduction
7091	pending-7091	pending_or_empty_vndb	1	0	2	1	4121	44	21768	Torrens	2025-02-25T08:57:00Z	/patch/7091/introduction
7132	pending-7132	pending_or_empty_vndb	2	6	12	1	7495	325	18710	Anmi_1	2025-02-27T16:55:22Z	/patch/7132/introduction
7241	pending-7241	pending_or_empty_vndb	1	0	3	1	3415	41	21768	Torrens	2025-03-06T07:32:50Z	/patch/7241/introduction
7245	pending-7245	pending_or_empty_vndb	1	0	2	1	3088	46	21768	Torrens	2025-03-06T07:39:45Z	/patch/7245/introduction
7287	pending-7287	pending_or_empty_vndb	1	0	1	1	3054	70	16285	SteinsGate	2025-03-11T12:36:25Z	/patch/7287/introduction
7325	pending-7325	pending_or_empty_vndb	1	2	3	1	2551	68	21768	Torrens	2025-03-16T14:17:19Z	/patch/7325/introduction
7331	pending-7331	pending_or_empty_vndb	1	0	3	1	2874	35	21768	Torrens	2025-03-16T14:25:11Z	/patch/7331/introduction
7453	pending-7453	pending_or_empty_vndb	1	0	6	1	4742	49	16301	先依	2025-03-26T02:33:17Z	/patch/7453/introduction
7454	pending-7454	pending_or_empty_vndb	2	0	2	1	4190	107	21768	Torrens	2025-03-26T03:16:09Z	/patch/7454/introduction
7494	pending-7494	pending_or_empty_vndb	3	0	17	1	14204	406	7274	爱吃的萝卜子	2025-04-01T03:04:06Z	/patch/7494/introduction
7522	pending-7522	pending_or_empty_vndb	1	1	34	1	9541	327	16285	SteinsGate	2025-04-04T14:25:54Z	/patch/7522/introduction
7574	pending-7574	pending_or_empty_vndb	1	7	7	1	3867	81	16285	SteinsGate	2025-04-14T10:40:06Z	/patch/7574/introduction
7608	pending-7608	pending_or_empty_vndb	1	3	6	1	2244	51	21768	Torrens	2025-04-19T11:24:04Z	/patch/7608/introduction
7645	pending-7645	pending_or_empty_vndb	1	4	5	1	5382	58	21768	Torrens	2025-04-24T14:23:19Z	/patch/7645/introduction
7646	pending-7646	pending_or_empty_vndb	1	0	6	1	1420	53	21768	Torrens	2025-04-24T14:25:02Z	/patch/7646/introduction
7647	pending-7647	pending_or_empty_vndb	1	0	5	1	3470	68	21768	Torrens	2025-04-24T14:26:19Z	/patch/7647/introduction
7668	v134628	wiki_not_found	1	19	34	1	16122	903	21760	心上秋	2025-04-25T10:25:19Z	/patch/7668/introduction
7674	pending-7674	pending_or_empty_vndb	1	11	18	1	9786	552	19285	brokye	2025-04-26T09:59:58Z	/patch/7674/introduction
7675	pending-7675	pending_or_empty_vndb	1	4	16	1	6850	364	19285	brokye	2025-04-26T10:02:12Z	/patch/7675/introduction
7677	pending-7677	pending_or_empty_vndb	1	0	4	1	2036	34	21133	SakreaKeliony	2025-04-26T15:15:02Z	/patch/7677/introduction
7716	pending-7716	pending_or_empty_vndb	1	0	24	1	7341	297	21133	SakreaKeliony	2025-05-04T04:29:31Z	/patch/7716/introduction
7836	pending-7836	pending_or_empty_vndb	1	1	5	1	4437	93	21768	Torrens	2025-05-30T17:08:48Z	/patch/7836/introduction
7841	pending-7841	pending_or_empty_vndb	1	1	9	1	4357	89	18857	时日已到	2025-06-01T03:33:48Z	/patch/7841/introduction
7849	v128088	wiki_not_found	0	0	13	1	4452	0	22147	dj123841	2025-06-03T14:01:10Z	/patch/7849/introduction
7868	pending-7868	pending_or_empty_vndb	1	0	6	1	3240	54	16285	SteinsGate	2025-06-09T13:48:30Z	/patch/7868/introduction
